sample,upper_bound,threshold
120,0.20991039,0.45832639
128,0.20157863,0.45832639
136,0.20592185,0.45832639
144,0.19109254,0.45832639
152,0.24579772,0.45832639
160,0.27676786,0.45832639
168,0.31052730,0.45832639
176,0.29592235,0.45832639
184,0.32345230,0.45832639
192,0.31005618,0.45832639
200,0.32399749,0.45832639
208,0.33399357,0.45832639
216,0.31407393,0.45832639
224,0.22720187,0.45832639
232,0.23384929,0.45832639
240,0.25156782,0.45832639
248,0.27732427,0.45832639
256,0.27252887,0.45832639
264,0.26605163,0.45832639
272,0.22448169,0.45832639
280,0.18212961,0.45832639
288,0.19229573,0.45832639
296,0.20284903,0.45832639
304,0.26265636,0.45832639
312,0.19817328,0.45832639
320,0.22601293,0.45832639
328,0.24389730,0.45832639
336,0.21518450,0.45832639
344,0.17470403,0.45832639
352,0.20630235,0.45832639
360,0.22495017,0.45832639
368,0.18198902,0.45832639
376,0.17526881,0.45832639
384,0.20879609,0.45832639
392,0.24604879,0.45832639
400,0.21289853,0.45832639
408,0.20400608,0.45832639
416,0.19139869,0.45832639
424,0.16351813,0.45832639
432,0.20158989,0.45832639
440,0.23032889,0.45832639
448,0.17232194,0.45832639
456,0.19438228,0.45832639
464,0.23539531,0.45832639
472,0.22913502,0.45832639
480,0.23319139,0.45832639
488,0.24799102,0.45832639
496,0.26368559,0.45832639
504,0.25187491,0.45832639
512,0.26949996,0.45832639
520,0.26118158,0.45832639
528,0.26898463,0.45832639
536,0.24105435,0.45832639
544,0.25290086,0.45832639
552,0.27084138,0.45832639
560,0.28209545,0.45832639
568,0.32245538,0.45832639
576,0.28633188,0.45832639
584,0.25349907,0.45832639
592,0.25290317,0.45832639
600,0.20054817,0.45832639
608,0.22331417,0.45832639
616,0.23611854,0.45832639
624,0.25775461,0.45832639
632,0.17737802,0.45832639
640,0.18889814,0.45832639
648,0.16949744,0.45832639
656,0.19122520,0.45832639
664,0.17663319,0.45832639
672,0.17758464,0.45832639
680,0.16225949,0.45832639
688,0.18199933,0.45832639
696,0.17313867,0.45832639
700,0.18269899,0.45832639
704,0.15510912,0.45832639
712,0.15962025,0.45832639
720,0.15281033,0.45832639
728,0.15505830,0.45832639
736,0.18765154,0.45832639
744,0.19313927,0.45832639
752,0.16271976,0.45832639
760,0.17731050,0.45832639
768,0.15911505,0.45832639
776,0.21678787,0.45832639
784,0.19948202,0.45832639
792,0.28846571,0.45832639
800,0.35949405,0.45832639
808,0.38842332,0.45832639
816,0.34997230,0.45832639
824,0.34096457,0.45832639
832,0.36598353,0.45832639
840,0.34516427,0.45832639
848,0.34276613,0.45832639
856,0.37009847,0.45832639
864,0.32633366,0.45832639
872,0.30912345,0.45832639
880,0.33892737,0.45832639
888,0.33172447,0.45832639
896,0.30972672,0.45832639
904,0.35575697,0.45832639
912,0.36151169,0.45832639
920,0.36658471,0.45832639
928,0.37820163,0.45832639
936,0.38723338,0.45832639
944,0.37387388,0.45832639
952,0.32134620,0.45832639
960,0.37509589,0.45832639
968,0.43025758,0.45832639
976,0.40283776,0.45832639
984,0.46600572,0.45832639
992,0.48454858,0.45832639
1000,0.47229678,0.45832639
1008,0.48289540,0.45832639
1016,0.49963937,0.45832639
1024,0.50038752,0.45832639
1032,0.46384560,0.45832639
1040,0.44012508,0.45832639
1048,0.42179676,0.45832639
1056,0.46025943,0.45832639
1064,0.48180960,0.45832639
1072,0.52527063,0.45832639
1080,0.51764659,0.45832639
1088,0.45894351,0.45832639
1096,0.45621840,0.45832639
1104,0.47454005,0.45832639
1112,0.46092371,0.45832639
1120,0.49531789,0.45832639
1128,0.48959051,0.45832639
1136,0.50414240,0.45832639
1144,0.56856113,0.45832639
1152,0.59423115,0.45832639
1160,0.61503825,0.45832639
1168,0.65905049,0.45832639
1176,0.66963706,0.45832639
1184,0.68121496,0.45832639
1192,0.67795705,0.45832639
1200,0.70107873,0.45832639
1208,0.73575325,0.45832639
1216,0.73704372,0.45832639
1224,0.75693402,0.45832639
1232,0.74883868,0.45832639
1240,0.72328852,0.45832639
1248,0.75807674,0.45832639
1256,0.75473311,0.45832639
1264,0.72035964,0.45832639
1272,0.72599334,0.45832639
1280,0.73474686,0.45832639
1288,0.71380745,0.45832639
1296,0.68512039,0.45832639
1300,0.67990323,0.45832639
1304,0.68030106,0.45832639
1312,0.65722265,0.45832639
1320,0.70186387,0.45832639
1328,0.71555143,0.45832639
1336,0.72468698,0.45832639
1344,0.71685328,0.45832639
1352,0.75229140,0.45832639
1360,0.75428996,0.45832639
1368,0.72804582,0.45832639
1376,0.78197107,0.45832639
1384,0.79553557,0.45832639
1392,0.81094973,0.45832639
1400,0.81249644,0.45832639
1408,0.80991945,0.45832639
1416,0.79528304,0.45832639
1424,0.78568870,0.45832639
1432,0.77518403,0.45832639
1440,0.75162362,0.45832639
1448,0.75434995,0.45832639
1456,0.75722831,0.45832639
1464,0.76015027,0.45832639
1472,0.73287155,0.45832639
1480,0.77471386,0.45832639
1488,0.78488648,0.45832639
1496,0.77167687,0.45832639
1504,0.75642361,0.45832639
1512,0.76212668,0.45832639
1520,0.76942882,0.45832639
1528,0.77217786,0.45832639
1536,0.76670634,0.45832639
1544,0.75843679,0.45832639
1552,0.79464845,0.45832639
1560,0.80063360,0.45832639
1568,0.81006106,0.45832639
1576,0.80714843,0.45832639
1584,0.81113452,0.45832639
1592,0.82274395,0.45832639
1600,0.80165234,0.45832639
1608,0.76462212,0.45832639
1616,0.76918572,0.45832639
1624,0.77622652,0.45832639
1632,0.76430696,0.45832639
1640,0.74086442,0.45832639
1648,0.77403849,0.45832639
1656,0.78810839,0.45832639
1664,0.80313855,0.45832639
1672,0.78099127,0.45832639
1680,0.76965818,0.45832639
1688,0.73841422,0.45832639
1696,0.75492936,0.45832639
1704,0.73698139,0.45832639
1712,0.72705441,0.45832639
1720,0.71017571,0.45832639
1728,0.73294929,0.45832639
1736,0.71442569,0.45832639
1744,0.73027827,0.45832639
1752,0.73067613,0.45832639
1760,0.75145423,0.45832639
1768,0.70949541,0.45832639
1776,0.71962988,0.45832639
1784,0.71428419,0.45832639
1792,0.74255470,0.45832639
